Iter,MSE
328,0.00810492
329,0.00810103
330,0.00809716
331,0.00809332
332,0.0080895
333,0.00808571
334,0.00808193
335,0.00807818
336,0.00807445
337,0.00807075
338,0.00806706
339,0.0080634
340,0.00805975
341,0.00805613
342,0.00805253
343,0.00804895
344,0.00804539
345,0.00804184
346,0.00803832
347,0.00803482
348,0.00803133
349,0.00802787
350,0.00802442
351,0.00802099
352,0.00801758
353,0.00801419
354,0.00801081
355,0.00800745
356,0.00800411
357,0.00800079
358,0.00799748
359,0.00799419
360,0.00799092
361,0.00798766
362,0.00798442
363,0.0079812
364,0.00797799
365,0.0079748
366,0.00797162
367,0.00796845
368,0.00796531
369,0.00796217
370,0.00795905
371,0.00795595
372,0.00795286
373,0.00794978
374,0.00794672
375,0.00794367
376,0.00794064
377,0.00793762
378,0.00793461
379,0.00793161
380,0.00792863
381,0.00792566
382,0.00792271
383,0.00791976
384,0.00791683
385,0.00791391
386,0.00791101
387,0.00790811
388,0.00790523
389,0.00790236
390,0.0078995
391,0.00789665
392,0.00789381
393,0.00789099
394,0.00788817
395,0.00788537
396,0.00788257
397,0.00787979
398,0.00787702
399,0.00787425
400,0.0078715
401,0.00786876
402,0.00786603
403,0.0078633
404,0.00786059
405,0.00785789
406,0.00785519
407,0.00785251
408,0.00784983
409,0.00784717
410,0.00784451
411,0.00784186
412,0.00783922
413,0.00783659
414,0.00783397
415,0.00783135
416,0.00782874
417,0.00782614
418,0.00782355
419,0.00782097
420,0.0078184
421,0.00781583
422,0.00781327
423,0.00781072
424,0.00780817
425,0.00780563
426,0.0078031
427,0.00780058
428,0.00779806
429,0.00779555
430,0.00779304
431,0.00779055
432,0.00778806
433,0.00778557
434,0.00778309
435,0.00778062
436,0.00777815
437,0.00777569
438,0.00777323
439,0.00777078
440,0.00776834
441,0.0077659
442,0.00776347
443,0.00776104
444,0.00775861
445,0.0077562
446,0.00775378
447,0.00775137
448,0.00774897
449,0.00774657
450,0.00774417
451,0.00774178
452,0.00773939
453,0.00773701
454,0.00773463
455,0.00773226
456,0.00772989
457,0.00772752
458,0.00772515
459,0.00772279
460,0.00772043
461,0.00771808
462,0.00771573
463,0.00771338
464,0.00771103
465,0.00770869
466,0.00770635
467,0.00770401
468,0.00770168
469,0.00769934
470,0.00769701
471,0.00769469
472,0.00769236
473,0.00769003
474,0.00768771
475,0.00768539
476,0.00768307
477,0.00768075
478,0.00767843
479,0.00767612
480,0.0076738
481,0.00767149
482,0.00766918
483,0.00766686
484,0.00766455
485,0.00766224
486,0.00765993
487,0.00765762
488,0.00765531
489,0.007653
490,0.00765069
491,0.00764838
492,0.00764607
493,0.00764376
494,0.00764144
495,0.00763913
496,0.00763682
497,0.00763451
498,0.00763219
499,0.00762988
500,0.00762756
501,0.00762524
502,0.00762292
503,0.0076206
504,0.00761828
505,0.00761595
506,0.00761363
507,0.0076113
508,0.00760897
509,0.00760664
510,0.0076043
511,0.00760197
512,0.00759963
513,0.00759729
514,0.00759494
515,0.00759259
516,0.00759024
517,0.00758789
518,0.00758554
519,0.00758318
520,0.00758081
521,0.00757845
522,0.00757608
523,0.00757371
524,0.00757133
525,0.00756895
526,0.00756657
527,0.00756418
528,0.00756179
529,0.00755939
530,0.00755699
531,0.00755459
532,0.00755218
533,0.00754976
534,0.00754735
535,0.00754493
536,0.0075425
537,0.00754007
538,0.00753763
539,0.00753519
540,0.00753275
541,0.0075303
542,0.00752785
543,0.00752539
544,0.00752292
545,0.00752045
546,0.00751798
547,0.0075155
548,0.00751302
549,0.00751053
550,0.00750803
551,0.00750553
552,0.00750303
553,0.00750052
554,0.007498
555,0.00749549
556,0.00749296
557,0.00749043
558,0.0074879
559,0.00748536
560,0.00748281
561,0.00748026
562,0.00747771
563,0.00747515
564,0.00747259
565,0.00747002
566,0.00746744
567,0.00746487
568,0.00746228
569,0.0074597
570,0.00745711
571,0.00745451
572,0.00745191
573,0.00744931
574,0.0074467
575,0.00744409
576,0.00744147
577,0.00743885
578,0.00743623
579,0.0074336
580,0.00743097
581,0.00742834
582,0.0074257
583,0.00742307
584,0.00742042
585,0.00741778
586,0.00741513
587,0.00741248
588,0.00740983
589,0.00740717
590,0.00740452
591,0.00740186
592,0.0073992
593,0.00739654
594,0.00739388
595,0.00739121
596,0.00738855
597,0.00738588
598,0.00738322
599,0.00738055
600,0.00737788
601,0.00737521
602,0.00737255
603,0.00736988
604,0.00736721
605,0.00736454
606,0.00736188
607,0.00735921
608,0.00735655
609,0.00735388
610,0.00735122
611,0.00734856
612,0.0073459
613,0.00734324
614,0.00734059
615,0.00733793
616,0.00733528
617,0.00733263
618,0.00732999
619,0.00732734
620,0.0073247
621,0.00732206
622,0.00731943
623,0.0073168
624,0.00731417
625,0.00731154
626,0.00730892
627,0.0073063
628,0.00730369
629,0.00730108
630,0.00729847
631,0.00729587
632,0.00729327
633,0.00729068
634,0.00728809
635,0.00728551
636,0.00728293
637,0.00728035
638,0.00727778
639,0.00727522
640,0.00727266
641,0.0072701
642,0.00726755
643,0.00726501
644,0.00726247
645,0.00725993
646,0.0072574
647,0.00725488
648,0.00725236
649,0.00724985
650,0.00724734
651,0.00724484
652,0.00724235
653,0.00723985
654,0.00723737
655,0.00723489
656,0.00723242
657,0.00722995
658,0.00722749
659,0.00722503
660,0.00722258
661,0.00722013
662,0.0072177
663,0.00721526
664,0.00721283
665,0.00721041
666,0.00720799
667,0.00720558
668,0.00720318
669,0.00720078
670,0.00719838
671,0.00719599
672,0.00719361
673,0.00719123
674,0.00718886
675,0.00718649
676,0.00718413
677,0.00718177
678,0.00717942
679,0.00717708
680,0.00717473
681,0.0071724
682,0.00717007
683,0.00716774
684,0.00716542
685,0.0071631
686,0.00716079
687,0.00715849
688,0.00715618
689,0.00715389
690,0.00715159
691,0.0071493
692,0.00714702
693,0.00714474
694,0.00714246
695,0.00714019
696,0.00713793
697,0.00713566
698,0.0071334
699,0.00713115
700,0.0071289
701,0.00712665
702,0.0071244
703,0.00712216
704,0.00711992
705,0.00711769
706,0.00711546
707,0.00711323
708,0.00711101
709,0.00710878
710,0.00710656
711,0.00710435
712,0.00710214
713,0.00709992
714,0.00709772
715,0.00709551
716,0.00709331
717,0.0070911
718,0.00708891
719,0.00708671
720,0.00708451
721,0.00708232
722,0.00708013
723,0.00707794
724,0.00707575
725,0.00707356
726,0.00707138
727,0.00706919
728,0.00706701
729,0.00706483
730,0.00706265
731,0.00706046
732,0.00705829
733,0.00705611
734,0.00705393
735,0.00705175
736,0.00704957
737,0.0070474
738,0.00704522
739,0.00704304
740,0.00704086
741,0.00703869
742,0.00703651
743,0.00703433
744,0.00703216
745,0.00702998
746,0.0070278
747,0.00702562
748,0.00702344
749,0.00702126
750,0.00701908
751,0.00701689
752,0.00701471
753,0.00701252
754,0.00701034
755,0.00700815
756,0.00700596
757,0.00700377
758,0.00700158
759,0.00699938
760,0.00699719
761,0.00699499
762,0.00699279
763,0.00699059
764,0.00698839
765,0.00698618
766,0.00698397
767,0.00698176
768,0.00697955
769,0.00697734
770,0.00697512
771,0.0069729
772,0.00697068
773,0.00696845
774,0.00696623
775,0.006964
776,0.00696177
777,0.00695953
778,0.00695729
779,0.00695505
780,0.00695281
781,0.00695056
782,0.00694831
783,0.00694606
784,0.0069438
785,0.00694154
786,0.00693928
787,0.00693702
788,0.00693475
789,0.00693248
790,0.0069302
791,0.00692792
792,0.00692564
793,0.00692336
794,0.00692107
795,0.00691878
796,0.00691648
797,0.00691419
798,0.00691189
799,0.00690958
800,0.00690728
801,0.00690496
802,0.00690265
803,0.00690033
804,0.00689801
805,0.00689569
806,0.00689336
807,0.00689103
808,0.0068887
809,0.00688637
810,0.00688403
811,0.00688168
812,0.00687934
813,0.00687699
814,0.00687464
815,0.00687228
816,0.00686993
817,0.00686757
818,0.0068652
819,0.00686284
820,0.00686047
821,0.0068581
822,0.00685572
823,0.00685334
824,0.00685096
825,0.00684858
826,0.0068462
827,0.00684381
828,0.00684142
829,0.00683903
830,0.00683663
831,0.00683423
832,0.00683183
833,0.00682943
834,0.00682703
835,0.00682462
836,0.00682221
837,0.0068198
838,0.00681739
839,0.00681498
840,0.00681256
841,0.00681014
842,0.00680772
843,0.0068053
844,0.00680287
845,0.00680045
846,0.00679802
847,0.00679559
848,0.00679316
849,0.00679073
850,0.00678829
851,0.00678586
852,0.00678342
853,0.00678098
854,0.00677854
855,0.0067761
856,0.00677366
857,0.00677122
858,0.00676878
859,0.00676633
860,0.00676389
861,0.00676144
862,0.00675899
863,0.00675654
864,0.00675409
865,0.00675164
866,0.00674919
867,0.00674674
868,0.00674429
869,0.00674184
870,0.00673939
871,0.00673693
872,0.00673448
873,0.00673203
874,0.00672957
875,0.00672712
876,0.00672467
877,0.00672221
878,0.00671976
879,0.0067173
880,0.00671485
881,0.0067124
882,0.00670994
883,0.00670749
884,0.00670504
885,0.00670259
886,0.00670014
887,0.00669769
888,0.00669524
889,0.00669279
890,0.00669034
891,0.00668789
892,0.00668544
893,0.006683
894,0.00668055
895,0.00667811
896,0.00667567
897,0.00667323
898,0.00667079
899,0.00666835
900,0.00666592
901,0.00666348
902,0.00666105
903,0.00665862
904,0.00665619
905,0.00665376
906,0.00665134
907,0.00664891
908,0.00664649
909,0.00664407
910,0.00664166
911,0.00663924
912,0.00663683
913,0.00663442
914,0.00663202
915,0.00662961
916,0.00662721
917,0.00662481
918,0.00662242
919,0.00662003
920,0.00661764
921,0.00661525
922,0.00661287
923,0.00661049
924,0.00660812
925,0.00660574
926,0.00660338
927,0.00660101
928,0.00659865
929,0.00659629
930,0.00659394
931,0.00659159
932,0.00658925
933,0.00658691
934,0.00658457
935,0.00658224
936,0.00657991
937,0.00657759
938,0.00657527
939,0.00657295
940,0.00657064
941,0.00656834
942,0.00656604
943,0.00656375
944,0.00656146
945,0.00655917
946,0.00655689
947,0.00655462
948,0.00655235
949,0.00655009
950,0.00654783
951,0.00654557
952,0.00654333
953,0.00654109
954,0.00653885
955,0.00653662
956,0.0065344
957,0.00653218
958,0.00652997
959,0.00652776
960,0.00652556
961,0.00652337
962,0.00652118
963,0.006519
964,0.00651683
965,0.00651466
966,0.0065125
967,0.00651034
968,0.00650819
969,0.00650605
970,0.00650391
971,0.00650179
972,0.00649966
973,0.00649755
974,0.00649544
975,0.00649334
976,0.00649125
977,0.00648916
978,0.00648708
979,0.00648501
980,0.00648294
981,0.00648088
982,0.00647883
983,0.00647679
984,0.00647475
985,0.00647272
986,0.0064707
987,0.00646868
988,0.00646668
989,0.00646468
990,0.00646268
991,0.0064607
992,0.00645872
993,0.00645675
994,0.00645479
995,0.00645284
996,0.00645089
997,0.00644895
998,0.00644702
999,0.0064451
